season,team,wins,losses,g,ppg,opp_ppg,fg_pct,tp_pct,ft_pct,rpg,apg,tov_pg,tp_attempts_pg,pace,srs
1993,Utah Jazz,47.0,35.0,82,106.2,104.0,48.9,31.4,76.6,42.7,26.5,15.5,5.0,96.5,1.74
1993,Orlando Magic,41.0,41.0,82,105.5,104.2,48.6,35.699999999999996,73.0,44.0,23.8,17.4,10.8,96.3,1.35
1993,San Antonio Spurs,49.0,33.0,82,105.5,102.8,49.0,34.1,76.5,42.2,24.5,15.0,8.4,95.4,2.21
1993,Chicago Bulls,57.0,25.0,82,105.2,98.9,48.199999999999996,36.5,73.3,43.6,26.0,13.5,8.2,92.5,6.19
1993,Denver Nuggets,36.0,46.0,82,105.2,106.9,46.0,30.4,75.6,46.7,21.2,17.2,5.5,99.8,-2.14
1993,Philadelphia 76ers,26.0,56.0,82,104.3,110.1,45.6,35.099999999999994,78.60000000000001,42.2,24.9,16.6,11.5,98.5,-5.25
1993,Los Angeles Lakers,39.0,43.0,82,104.2,105.5,47.3,29.9,75.6,41.4,24.5,15.4,7.6,96.2,-1.2
1993,Houston Rockets,55.0,27.0,82,104.0,99.8,48.6,36.1,75.8,42.9,25.8,15.8,13.1,94.4,3.57
1993,Boston Celtics,48.0,34.0,82,103.7,102.8,48.699999999999996,28.7,77.7,42.8,24.4,14.3,4.7,94.9,0.93
1993,Miami Heat,36.0,46.0,82,103.6,104.7,45.6,35.4,77.10000000000001,42.9,20.6,15.7,11.5,94.6,-0.93
1993,New Jersey Nets,43.0,39.0,82,102.8,101.6,46.2,31.8,76.7,46.3,22.8,16.5,6.0,96.0,1.2
1993,Milwaukee Bucks,28.0,54.0,82,102.3,106.1,47.199999999999996,33.300000000000004,74.2,38.6,25.4,16.6,11.4,96.1,-3.26
1993,Washington Bullets,22.0,60.0,82,101.9,108.9,46.7,30.099999999999998,74.8,40.8,25.7,16.1,7.0,97.7,-6.49
1993,New York Knicks,60.0,22.0,82,101.6,95.4,46.5,32.0,74.1,46.5,25.9,15.8,7.4,94.5,5.87
1993,Detroit Pistons,40.0,42.0,82,100.6,102.0,45.300000000000004,32.2,72.89999999999999,44.0,23.7,14.0,11.1,93.2,-1.1
1993,Dallas Mavericks,11.0,71.0,82,99.3,114.5,43.5,33.800000000000004,70.5,42.7,20.5,17.8,10.2,99.5,-14.68
1993,Minnesota Timberwolves,19.0,63.0,82,98.1,105.9,46.6,29.2,79.80000000000001,38.3,24.4,17.3,6.9,93.8,-7.62
1994,Phoenix Suns,56.0,26.0,82,108.2,103.4,48.4,33.0,72.8,44.8,27.6,15.9,12.7,96.7,4.68
1994,Golden State Warriors,50.0,32.0,82,107.9,106.1,49.2,33.900000000000006,66.4,43.6,26.8,17.5,10.5,99.1,1.76
1994,Portland Trail Blazers,47.0,35.0,82,107.3,104.6,45.4,35.3,74.3,45.9,25.2,14.8,9.4,98.8,2.6
1994,Charlotte Hornets,41.0,41.0,82,106.5,106.7,47.599999999999994,36.7,76.4,42.6,27.0,15.4,11.2,97.5,-0.23
1994,Seattle SuperSonics,63.0,19.0,82,105.9,96.9,48.4,33.5,74.5,41.2,25.8,15.4,8.8,95.1,8.68
1994,Orlando Magic,50.0,32.0,82,105.7,101.8,48.5,34.699999999999996,67.80000000000001,43.1,25.2,16.2,13.9,95.2,3.68
1994,Miami Heat,42.0,40.0,82,103.4,100.7,46.400000000000006,33.800000000000004,78.5,44.4,22.6,16.0,12.2,93.8,2.4
1994,New Jersey Nets,45.0,37.0,82,103.2,101.0,44.5,32.7,76.2,47.0,23.2,14.6,8.3,95.5,2.11
1994,Los Angeles Clippers,27.0,55.0,82,103.0,108.7,46.7,30.3,70.89999999999999,43.0,26.5,18.0,10.1,99.6,-5.28
1994,Utah Jazz,53.0,29.0,82,101.9,97.7,47.699999999999996,32.0,74.0,42.0,26.6,14.5,6.8,93.1,4.1
1994,Atlanta Hawks,57.0,25.0,82,101.4,96.2,46.1,32.300000000000004,75.2,44.8,25.1,15.3,10.1,94.2,4.94
1994,Cleveland Cavaliers,47.0,35.0,82,101.2,97.1,46.5,36.199999999999996,77.0,42.0,25.0,13.9,9.9,91.7,3.64
1994,Sacramento Kings,28.0,54.0,82,101.1,106.9,45.2,35.3,73.1,42.3,24.7,16.3,8.9,97.5,-5.32
1994,Houston Rockets,58.0,24.0,82,101.1,96.8,47.5,33.4,74.3,43.2,25.5,16.3,15.7,95.0,4.19
1994,Indiana Pacers,47.0,35.0,82,101.0,97.5,48.6,36.8,73.8,43.2,25.1,17.6,6.1,93.3,3.26
1994,Boston Celtics,32.0,50.0,82,100.8,105.1,47.199999999999996,28.9,73.0,41.7,23.5,15.1,5.8,95.6,-4.28
1994,Los Angeles Lakers,33.0,49.0,82,100.4,104.7,45.0,30.0,71.7,42.2,24.2,14.6,9.8,95.5,-3.93
1994,Washington Bullets,24.0,58.0,82,100.4,107.7,46.800000000000004,29.7,74.8,39.8,22.2,17.1,9.1,95.9,-7.13
1994,Denver Nuggets,42.0,40.0,82,100.3,98.8,46.5,28.499999999999996,71.8,44.7,21.5,17.3,7.3,96.1,1.54
1994,San Antonio Spurs,55.0,27.0,82,100.0,94.8,47.5,34.9,74.2,46.2,23.1,14.6,8.7,90.1,5.05
1994,New York Knicks,57.0,25.0,82,98.5,91.5,46.0,34.8,74.6,45.3,25.2,16.6,11.1,92.8,6.48
1994,Philadelphia 76ers,25.0,57.0,82,98.0,105.6,45.5,33.800000000000004,71.39999999999999,41.5,22.3,16.7,11.5,95.7,-7.37
1994,Chicago Bulls,55.0,27.0,82,98.0,94.9,47.599999999999994,35.4,70.5,43.1,25.6,15.9,8.0,91.9,2.87
1994,Milwaukee Bucks,20.0,62.0,82,96.9,103.4,44.7,32.5,70.19999999999999,40.0,23.7,16.4,12.4,94.5,-6.24
1994,Detroit Pistons,20.0,62.0,82,96.9,104.7,45.2,34.4,73.1,40.8,21.5,15.1,12.7,94.2,-7.46
1994,Minnesota Timberwolves,20.0,62.0,82,96.7,103.6,45.7,32.9,77.2,40.6,24.0,18.0,6.8,94.7,-6.55
1994,Dallas Mavericks,13.0,69.0,82,95.1,103.8,43.2,31.2,74.7,41.7,19.9,17.0,9.4,94.5,-8.19
1995,Orlando Magic,57.0,25.0,82,110.9,103.8,50.2,37.0,66.9,44.0,27.8,15.8,17.2,95.1,6.44
1995,Phoenix Suns,59.0,23.0,82,110.6,106.8,48.199999999999996,36.9,75.6,41.8,26.8,14.2,19.3,95.9,3.86
1995,Seattle SuperSonics,57.0,25.0,82,110.4,102.2,49.1,37.6,75.8,41.5,25.8,15.8,15.9,95.5,7.91
1995,San Antonio Spurs,62.0,20.0,82,106.6,100.6,48.4,37.5,73.8,45.0,23.4,15.2,14.1,94.6,5.9
1995,Utah Jazz,60.0,22.0,82,106.4,98.4,51.2,37.6,78.10000000000001,40.1,27.5,15.7,9.8,92.6,7.76
1995,Golden State Warriors,26.0,56.0,82,105.7,111.1,46.800000000000004,34.1,70.39999999999999,42.3,24.6,18.3,19.5,97.9,-4.9
1995,Los Angeles Lakers,48.0,34.0,82,105.1,105.3,46.300000000000004,35.199999999999996,73.5,42.0,25.3,15.2,18.2,95.2,-0.01
1995,Houston Rockets,47.0,35.0,82,103.5,101.4,48.0,36.8,74.9,40.5,25.1,16.1,21.4,94.2,2.32
1995,Dallas Mavericks,36.0,46.0,82,103.2,106.1,44.0,32.2,73.4,48.1,23.7,16.4,14.6,94.7,-2.39
1995,Portland Trail Blazers,44.0,38.0,82,103.1,99.2,45.1,36.5,69.69999999999999,46.3,22.5,14.8,15.4,93.8,3.8
1995,Boston Celtics,35.0,47.0,82,102.8,104.7,46.400000000000006,36.8,75.3,42.4,21.7,15.9,12.0,94.0,-1.92
1995,Chicago Bulls,47.0,35.0,82,101.5,96.7,47.599999999999994,37.3,72.6,41.5,24.0,15.8,14.5,92.0,4.32
1995,Denver Nuggets,41.0,41.0,82,101.3,100.5,47.9,35.6,73.8,42.0,22.4,16.8,14.1,91.5,0.96
1995,Miami Heat,32.0,50.0,82,101.1,102.8,46.7,36.9,73.6,41.0,21.7,15.7,14.4,92.9,-1.85
1995,Charlotte Hornets,50.0,32.0,82,100.6,97.3,47.4,39.7,77.7,39.4,25.3,14.9,17.2,91.2,2.87
1995,Washington Bullets,21.0,61.0,82,100.5,106.1,46.0,34.300000000000004,72.39999999999999,39.8,21.3,15.9,15.4,94.5,-5.56
1995,Milwaukee Bucks,34.0,48.0,82,99.3,103.7,45.9,36.6,71.2,39.6,21.2,17.0,16.5,92.7,-4.3
1995,Indiana Pacers,52.0,30.0,82,99.2,95.5,47.699999999999996,38.0,75.1,40.7,22.9,16.3,12.0,90.0,3.35
1995,New York Knicks,55.0,27.0,82,98.2,95.1,46.7,36.8,73.4,41.5,25.1,15.9,17.6,91.2,2.78
1995,Sacramento Kings,39.0,43.0,82,98.2,99.2,46.800000000000004,34.599999999999994,71.1,41.4,22.2,17.7,12.6,92.3,-0.74
1995,Detroit Pistons,28.0,54.0,82,98.2,105.5,46.1,35.4,74.1,38.6,22.8,16.1,17.0,93.2,-7.08
1995,New Jersey Nets,30.0,52.0,82,98.1,101.2,43.6,31.900000000000002,75.9,46.1,23.0,15.9,15.8,92.3,-3.28
1995,Los Angeles Clippers,17.0,65.0,82,96.7,105.8,44.4,31.5,71.0,38.3,22.0,16.3,12.8,94.3,-8.43
1995,Atlanta Hawks,42.0,40.0,82,96.6,95.3,44.7,34.1,72.39999999999999,41.2,21.4,14.9,19.3,89.8,1.06
1995,Philadelphia 76ers,24.0,58.0,82,95.4,100.4,44.800000000000004,37.9,73.7,40.7,19.1,16.5,11.4,91.0,-5.06
1995,Minnesota Timberwolves,21.0,61.0,82,94.2,103.2,44.9,31.3,77.5,36.3,21.7,17.1,12.4,91.4,-8.22
1995,Cleveland Cavaliers,43.0,39.0,82,90.5,89.8,44.1,38.5,76.0,40.0,20.4,14.3,12.6,84.8,0.55
1996,Chicago Bulls,72.0,10.0,82,105.2,92.9,47.8,40.300000000000004,74.6,44.6,24.8,14.3,16.5,91.1,11.8
1996,Seattle SuperSonics,64.0,18.0,82,104.5,96.7,48.0,36.4,76.0,41.5,24.4,17.6,19.5,93.8,7.4
1996,Orlando Magic,60.0,22.0,82,104.5,99.0,48.199999999999996,37.8,69.1,41.1,25.4,14.1,20.1,91.8,5.4
1996,Phoenix Suns,41.0,41.0,82,104.3,104.0,47.3,33.2,77.10000000000001,42.8,24.4,14.7,12.0,93.2,0.28
1996,Boston Celtics,33.0,49.0,82,103.6,107.0,45.6,37.1,71.39999999999999,42.4,21.9,15.9,17.7,96.2,-3.37
1996,San Antonio Spurs,59.0,23.0,82,103.4,97.1,47.699999999999996,39.2,73.6,43.0,24.9,14.6,16.1,93.3,5.98
1996,Los Angeles Lakers,53.0,29.0,82,102.9,98.5,48.0,35.099999999999994,74.6,40.2,25.4,14.2,16.6,92.4,4.21
1996,Charlotte Hornets,41.0,41.0,82,102.8,103.4,47.0,38.4,77.0,39.5,23.3,15.1,18.5,91.6,-0.48
1996,Washington Bullets,39.0,43.0,82,102.5,101.5,48.4,40.699999999999996,72.8,39.7,22.1,16.2,14.8,93.7,0.99
1996,Utah Jazz,55.0,27.0,82,102.5,95.9,48.8,37.2,76.8,41.0,26.1,14.8,12.4,90.0,6.25
1996,Houston Rockets,48.0,34.0,82,102.5,100.7,46.400000000000006,36.199999999999996,76.5,41.1,24.2,15.2,21.5,93.2,1.63
1996,Dallas Mavericks,26.0,56.0,82,102.5,107.5,42.0,36.0,72.2,46.2,23.3,15.5,24.9,95.4,-4.71
1996,Golden State Warriors,36.0,46.0,82,101.6,103.1,45.6,37.3,75.9,42.2,23.0,16.4,14.6,93.4,-1.42
1996,Sacramento Kings,39.0,43.0,82,99.5,102.3,45.7,38.7,73.1,42.2,22.3,17.6,14.6,93.4,-2.62
1996,Los Angeles Clippers,29.0,53.0,82,99.4,103.0,47.199999999999996,37.0,70.19999999999999,38.6,20.4,16.5,16.8,93.2,-3.46
1996,Indiana Pacers,52.0,30.0,82,99.3,96.1,48.0,37.3,75.5,39.9,23.4,16.3,11.9,89.3,3.11
1996,Portland Trail Blazers,44.0,38.0,82,99.3,97.0,45.800000000000004,35.3,66.2,45.6,21.5,16.8,16.6,92.6,2.21
1996,Atlanta Hawks,46.0,36.0,82,98.3,97.1,44.800000000000004,35.5,75.7,40.6,19.6,15.0,19.5,89.6,1.29
1996,Minnesota Timberwolves,26.0,56.0,82,97.9,103.2,45.9,32.6,77.7,39.7,22.8,17.4,10.5,93.5,-5.14
1996,Denver Nuggets,35.0,47.0,82,97.7,100.4,45.1,34.599999999999994,74.3,43.2,22.6,15.4,14.0,92.2,-2.62
1996,Toronto Raptors,21.0,61.0,82,97.5,105.0,46.7,35.4,72.3,40.0,23.5,18.8,14.2,93.2,-7.2
1996,New York Knicks,47.0,35.0,82,97.2,94.9,47.099999999999994,37.7,75.7,40.0,22.2,15.5,15.7,91.0,2.24
1996,Miami Heat,42.0,40.0,82,96.5,95.0,45.7,37.9,71.0,42.6,21.4,17.0,17.8,91.1,1.46
1996,Milwaukee Bucks,25.0,57.0,82,95.6,100.9,46.7,33.800000000000004,73.8,38.3,21.4,15.8,12.9,90.2,-4.92
1996,Detroit Pistons,46.0,36.0,82,95.4,92.9,45.9,40.400000000000006,75.1,40.5,19.6,14.8,16.5,87.7,2.45
1996,Philadelphia 76ers,18.0,64.0,82,94.5,104.5,43.6,34.2,73.4,38.9,19.9,17.2,17.5,92.2,-9.45
1996,New Jersey Nets,30.0,52.0,82,93.7,97.9,42.699999999999996,33.5,74.5,47.0,21.4,16.8,9.1,90.9,-4.14
1996,Cleveland Cavaliers,47.0,35.0,82,91.1,88.5,46.0,37.7,76.3,35.6,22.2,13.1,19.3,82.3,2.49
1996,Vancouver Grizzlies,15.0,67.0,82,89.8,99.8,42.8,32.9,72.39999999999999,38.1,20.8,16.4,13.8,91.0,-9.55
1997,Utah Jazz,64.0,18.0,82,103.1,94.3,50.4,37.0,76.9,40.2,26.8,15.4,11.0,90.0,7.97
1997,Chicago Bulls,69.0,13.0,82,103.1,92.3,47.3,37.3,74.7,45.1,26.1,13.5,17.1,90.0,10.7
1997,Phoenix Suns,40.0,42.0,82,102.8,102.2,46.9,36.9,76.1,40.1,25.2,14.4,17.4,93.2,0.21
1997,Seattle SuperSonics,57.0,25.0,82,100.9,93.2,46.7,35.3,75.2,40.0,23.5,15.0,19.3,90.3,6.91
1997,Boston Celtics,15.0,67.0,82,100.6,107.9,44.0,35.099999999999994,75.0,40.0,21.9,16.4,16.2,95.8,-6.62
1997,Houston Rockets,57.0,25.0,82,100.6,96.1,46.800000000000004,36.5,75.5,42.6,24.5,16.6,22.4,91.6,3.85
